,PSN1-parental-1,PSN1-parental-2,PSN1-parental-3,PSN1-maintain-1,PSN1-maintain-2,PSN1-maintain-3,PSN1-withdraw-1,PSN1-withdraw-2,PSN1-withdraw-3
IDNK,0.713352291929258,0.846691918330903,0.364401415712366,1.20277286595334,2.06598555138673,0.834323459318789,0,0.390805169020394,0.726024064147341
IDO1,0,0,0,0,0,0,0,0,0
IDO2,0,0,0,0,0,0,0,0,0
IDS,7.79565254145693,7.75349485610865,7.84677877223998,7.58281046866449,5.81217512961326,7.30833613482654,7.29142951499235,7.28252466546611,7.36990782280154
IDUA,2.96906199026933,3.22317571992295,2.92157442445335,3.21732072621073,4.92219598494434,4.02695321285735,2.61375715826233,2.83359427602694,2.31332198325049
IER2,5.69991917707506,5.60980800364511,5.68512212682746,5.07334909130668,7.55696897028711,5.08542153907671,5.42216594116678,5.30597882416847,5.11840113215793
IER3,7.05680150812275,6.92402277191645,6.96699260842411,5.94039129373736,5.22305960218402,5.88621255909914,6.26981275250332,6.21847802773917,6.32155430552981
IER3IP1,5.26466493267889,5.30372671403654,5.15742722993085,5.66087403871379,5.90132701566759,5.47294059238451,5.59821907621338,5.56279868643777,5.6836092600615
IER5,5.13660241426649,5.07390274630396,5.13582446414041,4.9481100897855,4.55793855700774,4.57134890735053,5.09681870998971,4.70237382777268,4.83285991165249
IER5L,4.91379215578684,5.04595130560402,5.13271177796736,3.75487023859294,3.95072559851284,3.3973852385437,4.65261137423332,4.18439548513837,4.37035099588596
IFFO1,0,0,0,0,0,0,0,0,0
IFFO2,5.49320729625275,5.45072625694012,5.43519685125999,5.61103682957777,4.73366127061256,5.57984705590043,5.62457630212342,5.56723072488103,5.54409839217715
IFI16,8.79607177134877,8.75468413957392,8.69836157310052,7.19765385030523,5.91407837490415,7.02666147311446,7.8948150019537,7.79304298059775,8.07147302709199
IFI27,0,0,0,0,1.30024220027277,0,0,0,0
IFI27L1,2.86513408268215,2.75558178446925,2.42740014506591,3.22715657526672,4.95341559648201,3.37776349722405,3.11487222158039,3.37861435751856,3.18205959475107
IFI27L2,3.3711896013941,3.50450303027496,3.48722337655688,4.20653368633084,6.99046818513244,4.23755268371505,2.46011707203826,2.61127674462265,2.29021955123143
IFI30,0,0,0,0,0,0,0,0,0
IFI35,3.33274148456071,3.31971769591611,3.30012288869055,4.08198678388169,6.05314921566793,4.06425785939034,3.22497881985992,2.97373032687748,3.19455604711692
IFI44,2.94377342840075,2.81567550700707,2.61753078917967,4.41882099799266,4.4394553251284,4.13024089124343,2.20459518606328,2.36880242135226,2.26674114223042
IFI44L,1.37407617669163,1.7252518747863,1.40670473516833,2.88593089724468,2.85563740520399,2.88858978815464,1.72424042937577,1.91972159833516,1.85917275575686
IFI6,2.12458581859505,2.37112206336214,2.25490439460621,3.95160805821985,5.96091665664037,3.92248408763385,2.73781541208836,2.3275977341038,2.14325112886529
IFIH1,3.29324059701139,3.26688267476801,3.2319454440185,3.85341838617985,3.05301767600172,3.9359639828561,3.148795415689,3.34803263718148,2.96582289547818
IFIT1,3.2422932371061,3.16661151759344,2.99197135452948,4.46110975091554,3.83479956005858,4.2804528325985,4.22979045214832,3.90514935764663,3.97346384685239
IFIT1B,0,0,0,0,0,0,0,0,0
IFIT2,2.61577853852541,2.59338988983392,2.59960641743888,4.06563432976947,2.59558714691179,3.96912277662177,3.10338488605747,3.38866588345034,3.2673435419927
IFIT3,3.71551450265214,3.92172160743749,3.99204737417368,4.93616663292808,3.92575727440383,4.78752564212997,3.96367890680792,4.07660586460376,4.044216022094
IFIT5,4.63839866009255,4.69235228837357,4.47749592050654,5.1030309023757,4.22082853852912,5.05794388094161,5.31170609362538,5.35293970979206,5.51200695913508
IFITM1,6.00509684020652,5.74730312803121,5.93963626254466,5.40116605809107,5.56779721702726,5.02047346891228,5.63259028549416,5.36062003071373,5.3229054170732
IFITM10,0.772002826923531,0.903178948365431,1.18423627415397,0,2.39188539929078,0.361577133982089,0,0,0
IFITM2,8.21409811125763,8.09212490943449,8.00451708342382,7.2926310184981,8.18611233961565,7.03294755473875,7.60471508829536,7.36629531810605,7.7391273342945
IFITM3,9.44014949925458,9.28762897219067,9.26762518512077,8.9049747455547,10.364702854323,8.7112359281769,9.05822588497138,8.83246165174299,8.94845200307966
IFITM5,0,0,0,0,0,0,0,0,0
IFNA1,0,0,0,0,0,0,0,0,0
IFNA10,0,0,0,0,0,0,0,0,0
IFNA13,0,0,0,0,0,0,0,0,0
IFNA14,0,0,0,0,0,0,0,0,0
IFNA16,0,0,0,0,0,0,0,0,0
IFNA17,0,0,0,0,0,0,0,0,0
IFNA2,0,0,0,0,0,0,0,0,0
IFNA21,0,0,0,0,0,0,0,0,0
IFNA4,0,0,0,0,0,0,0,0,0
IFNA5,0,0,0,0,0,0,0,0,0
IFNA6,0,0,0,0,0,0,0,0,0
IFNA7,0,0,0,0,0,0,0,0,0
IFNA8,0,0,0,0,0,0,0,0,0
IFNAR1,5.72981672996322,5.78160727632058,5.69781474635546,6.05665271819624,5.52271764154021,5.77247793057893,5.74405209547125,5.69423030848105,5.83495860001369
IFNAR2,3.12344266821014,2.75558178446925,3.28898137913379,3.6563918790011,2.15461769076343,3.60571501253733,3.44116281983246,3.25219423365374,3.44520048838923
IFNB1,0,0,0,0,0,0,0,0,0
IFNE,0,0.111397937177248,0,0,0,0,0,0,0
IFNG,0,0,0,0,0,0,0,0,0
IFNGR1,4.22086525712491,4.22847138041955,4.39676152335445,4.39283966195889,3.43561256874785,4.07648142017546,4.3513137063037,4.38349541399389,4.55128015685184
IFNGR2,6.43982603034886,6.37904373326375,6.36797564690725,6.19212668581887,5.90452543701068,5.95568789675682,6.42321654621588,6.22690639922855,6.27229837818191
IFNK,0,0,0,0,0,0,0,0,0
IFNL1,0,0,0,0,0,0,0,0,0
IFNL2,0,0,0,0,0,0,0,0,0
IFNL3,0,0,0,0,0,0,0,0,0
IFNLR1,3.80249315516009,3.82999858570021,3.87770842918486,2.93476690155662,0.737064176262491,3.13055120729088,2.32817021666078,1.9471863606873,2.03623494119596
IFNW1,0,0,0,0,0,0,0,0,0
IFRD1,5.97888216510954,5.8315809574781,5.83052571402648,5.39463484101682,5.24341076579906,5.29607879089531,5.77334303010517,5.81281659941693,5.7821178192198
IFRD2,6.87977324982763,6.76356247091805,6.77870873519214,7.20576002867325,6.89560833192483,7.02350813128198,7.4875432919078,7.27982681625098,7.22515172711284
IFT122,4.99297632548727,5.14296687695502,5.18473521140569,4.75086049254624,5.18147524107523,4.93578642869754,5.19749499623329,5.22694916445629,5.06154856241277
IFT140,5.1477193311434,5.22003645691016,5.3276963026719,4.23118075840007,3.53801679810321,4.51408335965662,4.83730828656891,5.03551630276968,4.78408111443031
IFT172,5.62234682862459,5.72201059347262,5.65071885534063,5.12160625147882,4.52506735370582,5.38721821008841,5.60434439252784,5.85511496952073,5.72511601190211
IFT20,3.28319404160198,3.4199148157794,3.49693925531777,3.48662865545454,3.24691631423785,3.5098212839635,3.71466786492308,3.27404861223601,3.14390735101974
IFT22,4.27763065464034,4.38541591294106,4.64415171326723,4.78455585570632,5.36912481228395,4.71509993844759,4.50327274797219,4.35301808444272,4.26764464757521
